12S_seq_number	AHi_12S_5.C2.S1540.L007	AHi_12S_8.C4.S900.L007	AHi_12S_AN1H.S1214.L007	AHi_12S_AN2C.S1215.L007	AHi_12S_ANB2.S1217.L007	AHi_12S_C1g.S885.L007	count	forward	reverse	merged	sumtax
reverse_12S_119	15	4	0	0	1	100	120		reverse		
reverse_12S_120	108	4	0	0	0	3	115		reverse		
reverse_12S_121	41	16	0	0	0	58	115		reverse		
reverse_12S_122	19	14	0	0	0	82	115		reverse		
reverse_12S_123	103	5	0	0	1	4	113		reverse		
reverse_12S_124	22	11	0	0	0	80	113		reverse		
reverse_12S_125	19	6	0	0	0	88	113		reverse		
reverse_12S_126	55	22	0	0	0	35	112		reverse		
reverse_12S_127	45	22	0	0	0	45	112		reverse		
reverse_12S_128	109	0	0	0	1	1	111		reverse		
merged_12S_85	0	56	0	0	53	0	109			merged	Chordata;Actinopteri;;Embiotocidae;Rhacochilus;Rhacochilus vacca
merged_12S_86	0	0	0	0	109	0	109			merged	Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
reverse_12S_129	39	27	0	0	0	43	109		reverse		
reverse_12S_130	15	15	0	0	0	75	105		reverse		
reverse_12S_131	6	13	0	0	0	86	105		reverse		
reverse_12S_132	103	1	0	0	0	0	104		reverse		
reverse_12S_133	60	5	0	0	0	38	103		reverse		
reverse_12S_134	26	40	0	0	0	37	103		reverse		
reverse_12S_135	42	8	0	0	1	50	101		reverse		
reverse_12S_136	36	12	0	0	1	52	101		reverse		
reverse_12S_137	36	18	0	0	0	45	99		reverse		
reverse_12S_138	22	33	0	0	1	43	99		reverse		
reverse_12S_139	32	25	0	0	0	41	98		reverse		
reverse_12S_140	23	27	0	0	0	48	98		reverse		
reverse_12S_141	66	7	0	0	0	24	97		reverse		
reverse_12S_142	60	12	0	0	0	25	97		reverse		
reverse_12S_143	90	1	0	0	0	3	94		reverse		
reverse_12S_144	82	4	0	0	0	8	94		reverse		
reverse_12S_145	42	19	0	0	0	33	94		reverse		
merged_12S_87	0	0	0	93	0	0	93			merged	Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;Citharichthys sordidus
reverse_12S_146	75	2	0	0	0	16	93		reverse		
reverse_12S_147	31	9	0	0	0	52	92		reverse		
reverse_12S_148	26	14	0	0	0	52	92		reverse		
reverse_12S_149	18	19	0	0	0	55	92		reverse		
merged_12S_88	0	0	33	0	58	0	91			merged	Chordata;Actinopteri;;Opistognathidae;Opistognathus;Opistognathus jacksoniensis
reverse_12S_150	75	3	0	0	1	12	91		reverse		
reverse_12S_151	36	11	0	0	0	44	91		reverse		
reverse_12S_152	19	1	0	0	0	71	91		reverse		
reverse_12S_153	26	47	0	0	0	17	90		reverse		
reverse_12S_154	13	1	0	0	1	75	90		reverse		
reverse_12S_155	31	10	0	0	0	48	89		reverse		
reverse_12S_156	20	12	0	0	0	57	89		reverse		
reverse_12S_157	20	39	0	0	0	30	89		reverse		
reverse_12S_158	13	27	0	0	0	49	89		reverse		
reverse_12S_159	24	19	0	0	0	45	88		reverse		
reverse_12S_160	15	16	0	0	0	56	87		reverse		
reverse_12S_161	34	12	0	0	0	40	86		reverse		
reverse_12S_162	16	3	0	0	0	67	86		reverse		
reverse_12S_163	83	1	0	0	0	1	85		reverse		
reverse_12S_164	82	2	0	0	0	1	85		reverse		
reverse_12S_165	73	8	0	0	0	4	85		reverse		
reverse_12S_166	20	1	0	0	0	64	85		reverse		
reverse_12S_167	15	1	0	0	1	68	85		reverse		
reverse_12S_168	52	1	0	0	0	31	84		reverse		
reverse_12S_169	41	7	0	0	0	36	84		reverse		
reverse_12S_170	31	14	0	0	0	39	84		reverse		
reverse_12S_171	16	17	0	0	1	50	84		reverse		
reverse_12S_172	6	1	0	0	0	77	84		reverse		
reverse_12S_173	74	5	0	0	0	4	83		reverse		
reverse_12S_174	53	12	0	0	1	17	83		reverse		
reverse_12S_175	42	6	0	0	0	35	83		reverse		
reverse_12S_176	32	18	0	0	0	33	83		reverse		
reverse_12S_177	76	1	0	0	0	5	82		reverse		
reverse_12S_178	40	8	0	0	1	33	82		reverse		
reverse_12S_179	9	9	0	0	0	64	82		reverse		
reverse_12S_180	13	3	0	0	0	65	81		reverse		
reverse_12S_181	9	0	0	0	0	72	81		reverse		
reverse_12S_182	9	6	0	0	0	65	80		reverse		
reverse_12S_183	27	9	0	0	0	43	79		reverse		
reverse_12S_184	75	2	0	0	0	1	78		reverse		
reverse_12S_185	38	9	0	0	0	31	78		reverse		
reverse_12S_186	19	6	0	0	0	53	78		reverse		
reverse_12S_187	77	0	0	0	0	0	77		reverse		
reverse_12S_188	66	7	0	0	0	4	77		reverse		
reverse_12S_189	17	2	0	0	0	57	76		reverse		
forward_12S_2	0	0	74	1	0	0	75	forward			
reverse_12S_190	41	9	0	0	0	25	75		reverse		
reverse_12S_191	35	6	0	0	1	33	75		reverse		
reverse_12S_192	10	6	0	0	0	58	74		reverse		
reverse_12S_193	64	3	0	0	0	6	73		reverse		
reverse_12S_194	29	19	0	0	0	25	73		reverse		
reverse_12S_195	13	21	0	0	0	39	73		reverse		
reverse_12S_196	23	6	0	0	0	43	72		reverse		
reverse_12S_197	28	0	0	0	0	43	71		reverse		
reverse_12S_198	5	28	0	0	0	38	71		reverse		
reverse_12S_199	70	0	0	0	0	0	70		reverse		
reverse_12S_200	63	5	0	0	0	2	70		reverse		
reverse_12S_201	30	11	0	0	0	29	70		reverse		
reverse_12S_202	45	15	0	0	0	9	69		reverse		
reverse_12S_203	11	1	0	0	0	56	68		reverse		
forward_12S_3	0	0	46	19	2	0	67	forward			
reverse_12S_204	39	4	0	0	1	23	67		reverse		
reverse_12S_205	35	19	0	0	0	13	67		reverse		
reverse_12S_206	15	1	0	0	0	51	67		reverse		
reverse_12S_207	32	4	0	0	0	30	66		reverse		
reverse_12S_208	27	6	0	0	0	33	66		reverse		
reverse_12S_209	23	4	0	0	0	39	66		reverse		
reverse_12S_210	10	8	0	0	0	48	66		reverse		
reverse_12S_211	7	20	0	0	1	38	66		reverse		
reverse_12S_212	5	10	0	0	0	51	66		reverse		
reverse_12S_213	18	5	0	0	0	42	65		reverse		
reverse_12S_214	13	0	0	0	1	51	65		reverse		
reverse_12S_215	7	4	0	0	0	54	65		reverse		
reverse_12S_216	6	5	0	0	0	54	65		reverse		
reverse_12S_217	31	14	0	0	0	19	64		reverse		
reverse_12S_218	41	7	0	0	1	14	63		reverse		
reverse_12S_219	18	5	0	0	0	40	63		reverse		
reverse_12S_220	17	11	0	0	0	35	63		reverse		
reverse_12S_221	56	4	0	0	0	2	62		reverse		
reverse_12S_222	19	3	0	0	0	40	62		reverse		
reverse_12S_223	12	15	0	0	0	35	62		reverse		
reverse_12S_224	3	21	0	0	0	38	62		reverse		
merged_12S_89	61	0	0	0	0	0	61			merged	Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Naso;Naso hexacanthus
reverse_12S_225	33	14	0	0	0	14	61		reverse		
reverse_12S_226	20	26	0	0	0	15	61		reverse		
reverse_12S_227	14	4	0	0	0	43	61		reverse		
reverse_12S_228	9	0	0	0	0	52	61		reverse		
reverse_12S_229	48	5	0	0	0	7	60		reverse		
reverse_12S_230	30	6	0	0	0	24	60		reverse		
