12S_seq_number	SkHi_12S_5.C2.S1540.L007	SkHi12S_8.C4.S900.L007	SkHi12S_AN1H.S1214.L007	SkHi12S_AN2C.S1215.L007	SkHi12S_ANB2.S1217.L007	SkHi12S_C1g.S885.L007	Forward	reverse	merged	sumtax Confidence
merged_12S_104	0	0	0	0	37	0			merged	Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax	0.997996503
merged_12S_105	7	0	0	0	29	0			merged	Chordata;Actinopteri	0.998624887
merged_12S_106	34	0	0	0	0	0			merged	Chordata;Actinopteri;Labriformes;Labridae;Thalassoma	0.999783165
merged_12S_107	33	0	0	0	0	0			merged	Chordata;Actinopteri;Labriformes;Labridae;Scarus	0.99747886
merged_12S_108	0	0	8	0	24	0			merged	Chordata;Actinopteri;Blenniiformes;Blenniidae;Cirripectes;Cirripectes imitator	0.91396398
merged_12S_109	31	0	0	0	0	0			merged	Chordata;Actinopteri;Ephippiformes;Ephippidae;Platax;Platax orbicularis	0.999448569
merged_12S_11	0	0	8796	0	0	0			merged	Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss	0.936440196
merged_12S_110	0	0	6	0	25	0			merged	Chordata;Actinopteri;;Pomacentridae;Pomachromis;Pomachromis richardsoni	0.999988531
merged_12S_111	29	0	0	0	0	0			merged	Chordata;Chondrichthyes;Carcharhiniformes;Carcharhinidae;Carcharhinus	0.997802731
merged_12S_112	28	0	0	0	0	0			merged	Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Pterocaesio;Pterocaesio tile	0.99980924
merged_12S_113	0	0	0	0	28	0			merged	Chordata;Actinopteri;Labriformes;Labridae;Chlorurus;Chlorurus sordidus	0.927402091
merged_12S_114	0	0	22	0	5	0			merged	Eukaryota	1
merged_12S_115	0	0	0	0	27	0			merged	Chordata;Actinopteri;Labriformes;Labridae	0.997905796
