	taxon	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_b2	sum-reads_Hi_b2	sum-reads_Hi_b2	sum-reads_Hi_b2
ASV		forward	merged	reverse	unmerged	All	forward	reverse	unmerged	All
76	;Florideophyceae;Rhodymeniales;Rhodymeniaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	75.0
77	;Florideophyceae;Sebdeniales;Sebdeniaceae;Sebdenia;Sebdenia sp. 1flabellata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0
78	;Oomycetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	273.0	273.0
79	;Oomycetes;Albuginales;Albuginaceae;Albugo;Albugo candida	0.0	0.0	0.0	0.0	0.0	0.0	0.0	215.0	215.0
80	;Oomycetes;Peronosporales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	22.0
81	;Oomycetes;Peronosporales;;Phytophthora	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	29.0
82	;Oomycetes;Peronosporales;;Phytophthora;Phytophthora fallax	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	13.0
83	;Oomycetes;Peronosporales;;Phytopythium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.0	67.0
84	;Oomycetes;Peronosporales;Peronosporaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	159.0	159.0
85	;Oomycetes;Pythiales;Pythiaceae;Halophytophthora	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
86	;Oomycetes;Pythiales;Pythiaceae;Pythium;Pythium heterothallicum	0.0	0.0	0.0	0.0	0.0	7.0	0.0	3.0	10.0
87	;Oomycetes;Pythiales;Pythiaceae;Pythium;Pythium irregulare	0.0	0.0	0.0	0.0	0.0	0.0	0.0	487.0	487.0
88	;Oomycetes;Pythiales;Pythiaceae;Pythium;Pythium ultimum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	23.0
89	;Oomycetes;Pythiales;Pythiaceae;Pythium;Pythium violae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	430.0	430.0
90	;Oomycetes;Saprolegniales;Saprolegniaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	224.0	224.0
91	;Oomycetes;Saprolegniales;Saprolegniaceae;Achlya	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	54.0
92	;Oomycetes;Saprolegniales;Saprolegniaceae;Saprolegnia;Saprolegnia delica	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	7.0
93	Annelida;Clitellata;Haplotaxida;Lumbricidae;Eisenia;Eisenia nordenskioldi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.0	86.0
94	Annelida;Clitellata;Haplotaxida;Tubificidae;Tubifex;Tubifex tubifex	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	11.0
