	taxon	land1_Hi_sk	land2_Hi_sk	land3_Hi_sk	land1_Hi_b2	land2_Hi_b2	land3_Hi_b2	land4_Mi_sk	land5_Mi_sk	land6_Mi_sk	land4_Mi_b2	land5_Mi_b2	land6_Mi_b2
80	;Oomycetes;Peronosporales	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
81	;Oomycetes;Peronosporales;;Phytophthora	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0
82	;Oomycetes;Peronosporales;;Phytophthora;Phytophthora fallax	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
83	;Oomycetes;Peronosporales;;Phytopythium	0.0	0.0	0.0	0.0	67.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
84	;Oomycetes;Peronosporales;Peronosporaceae	0.0	0.0	0.0	0.0	159.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
85	;Oomycetes;Pythiales;Pythiaceae;Halophytophthora	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
86	;Oomycetes;Pythiales;Pythiaceae;Pythium;Pythium heterothallicum	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
87	;Oomycetes;Pythiales;Pythiaceae;Pythium;Pythium irregulare	0.0	0.0	0.0	0.0	487.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
88	;Oomycetes;Pythiales;Pythiaceae;Pythium;Pythium ultimum	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
89	;Oomycetes;Pythiales;Pythiaceae;Pythium;Pythium violae	0.0	0.0	0.0	419.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0
90	;Oomycetes;Saprolegniales;Saprolegniaceae	0.0	0.0	0.0	190.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
91	;Oomycetes;Saprolegniales;Saprolegniaceae;Achlya	0.0	0.0	0.0	0.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
92	;Oomycetes;Saprolegniales;Saprolegniaceae;Saprolegnia;Saprolegnia delica	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
