	taxon	forward_Hi_sk	merged_Hi_sk	reverse_Hi_sk	unmerged_Hi_sk	forward_Hi_b2	merged_Hi_b2	reverse_Hi_b2	unmerged_Hi_b2
85	;Oomycetes;Pythiales;Pythiaceae;Halophytophthora	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
86	;Oomycetes;Pythiales;Pythiaceae;Pythium;Pythium heterothallicum	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
87	;Oomycetes;Pythiales;Pythiaceae;Pythium;Pythium irregulare	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
88	;Oomycetes;Pythiales;Pythiaceae;Pythium;Pythium ultimum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
89	;Oomycetes;Pythiales;Pythiaceae;Pythium;Pythium violae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
90	;Oomycetes;Saprolegniales;Saprolegniaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
91	;Oomycetes;Saprolegniales;Saprolegniaceae;Achlya	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
92	;Oomycetes;Saprolegniales;Saprolegniaceae;Saprolegnia;Saprolegnia delica	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
93	Annelida;Clitellata;Haplotaxida;Lumbricidae;Eisenia;Eisenia nordenskioldi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
94	Annelida;Clitellata;Haplotaxida;Tubificidae;Tubifex;Tubifex tubifex	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
95	Annelida;Polychaeta;Capitellida;Capitellidae;Dasybranchus;Dasybranchus sp. DH1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
96	Arthropoda;Arachnida	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
97	Arthropoda;Arachnida;Araneae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
98	Arthropoda;Arachnida;Araneae;Corinnidae;Phrurotimpus;Phrurotimpus alarius	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
99	Arthropoda;Arachnida;Araneae;Ctenidae;Macroctenus;Macroctenus vandenspiegeli	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
100	Arthropoda;Arachnida;Araneae;Dysderidae;Dysdera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
101	Arthropoda;Arachnida;Araneae;Dysderidae;Dysdera;Dysdera nesiotes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
102	Arthropoda;Arachnida;Araneae;Dysderidae;Dysdera;Dysdera silvatica	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
103	Arthropoda;Arachnida;Araneae;Euctenizidae;Apomastus;Apomastus kristenae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
