	taxon	land1_Hi_sk	land2_Hi_sk	land3_Hi_sk	sea1_Hi_sk	sea2_Hi_sk	sea3_Hi_sk	land1_Hi_b2	land2_Hi_b2	land3_Hi_b2	sea1_Hi_b2	sea2_Hi_b2	sea3_Hi_b2	land1_Hi_bl	land2_Hi_bl	land3_Hi_bl	sea1_Hi_bl	sea2_Hi_bl	sea3_Hi_bl	land1_Hi_vs	land2_Hi_vs	land3_Hi_vs	sea1_Hi_vs	sea2_Hi_vs	sea3_Hi_vs
57	Chlorophyta;Ulvophyceae;Ignatiales;;Ignatius;Ignatius tetrasporus	0.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
58	Chytridiomycota;Chytridiomycetes;Rhizophydiales;;;Rhizophydiales sp. Chy-Lys2009	0.0	2.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
59	Mucoromycota	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	149.0	1.0	0.0	0.0	0.0	0.0
60	Mucoromycota;;Mortierellales;Mortierellaceae;Mortierella	20.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
61	Mucoromycota;;Mortierellales;Mortierellaceae;Mortierella;Mortierella sp. 11 GB-2015	0.0	93.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
62	Streptophyta	19.0	10.0	6837.0	0.0	0.0	0.0	26.0	1862.0	301.0	0.0	0.0	0.0	8.0	30.0	15.0	0.0	0.0	0.0	6.0	27.0	10.0	0.0	0.0	0.0
63	Streptophyta;;Asterales;Asteraceae	19.0	100.0	585.0	0.0	0.0	0.0	17.0	38.0	29.0	1.0	0.0	0.0	17.0	35.0	27.0	1.0	0.0	0.0	13.0	32.0	26.0	0.0	0.0	0.0
64	Streptophyta;;Asterales;Asteraceae;Achillea	3.0	8.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
65	Streptophyta;;Asterales;Asteraceae;Artemisia	33.0	27.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
66	Streptophyta;;Asterales;Asteraceae;Glebionis;Glebionis segetum	71.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
