	taxon	forward_Hi_sk	merged_Hi_sk	reverse_Hi_sk	unmerged_Hi_sk	forward_Hi_b2	merged_Hi_b2	reverse_Hi_b2	unmerged_Hi_b2
122	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Chitinophaga;Chitinophaga terrae Kim and Jung 2007	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
123	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Ferruginibacter;Ferruginibacter profundus	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
124	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Flaviaesturariibacter;Flaviaesturariibacter sp.	5.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
125	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Lacibacter;Lacibacter cauensis	5.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
126	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Niastella;Niastella koreensis	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
127	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Panacibacter;Panacibacter ginsenosidivorans	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
128	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Panacibacter;Panacibacter sp.	2.0	0.0	0.0	0.0	6.0	0.0	0.0	3.0
129	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Sediminibacterium	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
130	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Sediminibacterium;Sediminibacterium salmoneum	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
131	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Segetibacter;Segetibacter aerophilus	36.0	0.0	0.0	0.0	57.0	0.0	0.0	5.0
132	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Taibaiella;Taibaiella sp.	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
