	taxon	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_b2	sum-reads_Hi_b2	sum-reads_Hi_b2	sum-reads_Hi_b2	sum-reads_Hi_b2
ASV		Forward	merged	reverse	All	forward	merged	reverse	unmerged	All
81	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Virgisporangium;Virgisporangium ochraceum	27.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0
82	Actinobacteria;Actinobacteria;Nakamurellales;Nakamurellaceae;Nakamurella;Nakamurella sp.	25.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0
83	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae	95.0	0.0	0.0	95.0	43.0	0.0	0.0	230.0	273.0
84	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Aeromicrobium;Aeromicrobium sp.	37.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0
85	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Kribbella	93.0	0.0	0.0	93.0	181.0	0.0	0.0	540.0	721.0
86	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Kribbella;Kribbella sp.	46.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0
87	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Marmoricola	2.0	0.0	0.0	2.0	37.0	0.0	0.0	71.0	108.0
88	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Marmoricola;Marmoricola sp.	41.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0
89	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides	20.0	0.0	0.0	20.0	88.0	0.0	0.0	448.0	536.0
90	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;Nocardioides ganghwensis	3.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
91	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;Nocardioides sp.	97.0	0.0	0.0	97.0	2.0	0.0	0.0	0.0	2.0
92	Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae	90.0	0.0	0.0	90.0	30.0	0.0	2.0	318.0	350.0
93	Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Amycolatopsis	23.0	0.0	0.0	23.0	23.0	0.0	0.0	46.0	69.0
94	Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Amycolatopsis;Amycolatopsis coloradensis	3.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
