	taxon	land1_Hi_sk	land2_Hi_sk	land3_Hi_sk	sea1_Hi_sk	sea2_Hi_sk	sea3_Hi_sk	land1_Hi_b2	land2_Hi_b2	land3_Hi_b2	sea1_Hi_b2	sea2_Hi_b2	sea3_Hi_b2	css1_Mi_sk	css2_Mi_sk	css3_Mi_sk	sand1_Mi_sk	sand2_Mi_sk	sand3_Mi_sk	css1_Mi_b2	css2_Mi_b2	css3_Mi_b2	sand1_Mi_b2	sand2_Mi_b2	sand3_Mi_b2
75	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Catellatospora	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
76	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Dactylosporangium	6.0	3.0	14.0	0.0	0.0	0.0	6.0	32.0	65.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
77	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Hamadaea	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
78	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Micromonospora	121.0	31.0	127.0	0.0	0.0	0.0	480.0	146.0	675.0	0.0	0.0	0.0	24.0	7.0	33.0	5.0	0.0	0.0	1.0	0.0	7.0	1.0	0.0	0.0
79	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Micromonospora;Micromonospora echinaurantiaca	7.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
80	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Salinispora	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
81	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Virgisporangium;Virgisporangium ochraceum	17.0	2.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
82	Actinobacteria;Actinobacteria;Nakamurellales;Nakamurellaceae;Nakamurella;Nakamurella sp.	12.0	6.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
83	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae	49.0	10.0	36.0	0.0	0.0	0.0	161.0	17.0	94.0	0.0	0.0	1.0	8.0	5.0	17.0	5.0	0.0	0.0	17.0	22.0	47.0	6.0	0.0	0.0
84	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Aeromicrobium;Aeromicrobium sp.	13.0	15.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
85	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Kribbella	43.0	3.0	47.0	0.0	0.0	0.0	241.0	122.0	358.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
86	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Kribbella;Kribbella sp.	10.0	7.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
