	taxon	forward_Mi_sk	merged_Mi_sk	reverse_Mi_sk	unmerged_Mi_sk	forward_Mi_b2	merged_Mi_b2	reverse_Mi_b2	unmerged_Mi_b2
142	Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Ohtaekwangia	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
143	Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Ohtaekwangia;Ohtaekwangia kribbensis	5.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0
144	Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Spirosoma	1.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
145	Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Spirosoma;Spirosoma escalantus	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
146	Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Spirosoma;Spirosoma sp.	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
147	Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Sporocytophaga;Sporocytophaga myxococcoides	4.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0
148	Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Telluribacter;Telluribacter humicola	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
149	Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae	14.0	1.0	0.0	0.0	4.0	0.0	0.0	0.0
150	Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Cesiribacter;Cesiribacter sp. JJ021	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
151	Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Fulvivirga;Fulvivirga kasyanovii	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
152	Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Marivirga;Marivirga tractuosa	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
153	Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Adhaeribacter;Adhaeribacter aerolatus	5.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0
154	Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Adhaeribacter;Adhaeribacter sp.	16.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0
155	Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Adhaeribacter;Adhaeribacter sp. enrichment culture clone Lpl1-269	2.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
156	Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Hymenobacter	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
157	Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Hymenobacter;Hymenobacter sp.	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
158	Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Hymenobacter;Hymenobacter sp. 9PNM-21	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
159	Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Parahymenobacter;Parahymenobacter deserti	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
160	Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Pontibacter	2.0	1.0	0.0	0.0	15.0	2.0	0.0	0.0
161	Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Pontibacter;Pontibacter populi	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
162	Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Pontibacter;Pontibacter sp.	8.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
163	Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Rufibacter;Rufibacter immobilis	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
164	Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Rufibacter;Rufibacter tibetensis	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
165	Bacteroidetes;Flavobacteriia;Flavobacteriales	3.0	1.0	0.0	0.0	5.0	0.0	0.0	0.0
166	Bacteroidetes;Flavobacteriia;Flavobacteriales;Crocinitomicaceae;Fluviicola;Fluviicola taffensis	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
167	Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Owenweeksia;Owenweeksia hongkongensis	5.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0
168	Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae	54.0	6.0	0.0	0.0	63.0	4.0	0.0	0.0
169	Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Eudoraea	6.0	0.0	0.0	0.0	13.0	2.0	0.0	0.0
170	Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium	10.0	1.0	0.0	0.0	9.0	2.0	0.0	0.0
171	Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Flavobacterium sp.	8.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
172	Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Gaetbulibacter;Gaetbulibacter marinus	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
